                         ,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26),(27),(28),(29),(30),(31),(32),(33),(34),(35),(36),(37),(38),(39),(40),(41),(42)
                         ,Standardized values of stateva_obs_year,Standardized values of mqi5,Standardized values of clinstd,Standardized values of clts,Standardized values of clrsp,Standardized values of clpc,Standardized values of stateva_obs_year,Standardized values of mqi5,Standardized values of clinstd,Standardized values of clts,Standardized values of clrsp,Standardized values of clpc,Standardized values of stateva_obs_year,Standardized values of mqi5,Standardized values of clinstd,Standardized values of clts,Standardized values of clrsp,Standardized values of clpc,Standardized values of stateva_obs_year,Standardized values of mqi5,Standardized values of clinstd,Standardized values of clts,Standardized values of clrsp,Standardized values of clpc,Standardized values of stateva_obs_year,Standardized values of mqi5,Standardized values of clinstd,Standardized values of clts,Standardized values of clrsp,Standardized values of clpc,Standardized values of stateva_obs_year,Standardized values of mqi5,Standardized values of clinstd,Standardized values of clts,Standardized values of clrsp,Standardized values of clpc,Standardized values of stateva_obs_year,Standardized values of mqi5,Standardized values of clinstd,Standardized values of clts,Standardized values of clrsp,Standardized values of clpc
Student on Task,0.018+,0.022*,0.032**,0.033**,0.024**,0.036**,,,,,,,0.018+,0.022*,0.032**,0.033**,0.024**,0.036**,,,,,,,,,,,,,,,,,,,,,,,,
                         ,(0.009),(0.010),(0.011),(0.008),(0.007),(0.007),,,,,,,(0.009),(0.010),(0.011),(0.008),(0.007),(0.007),,,,,,,,,,,,,,,,,,,,,,,,
Teacher On Task,0.017+,0.021*,0.030**,0.034**,0.024**,0.035**,0.017+,0.021*,0.030**,0.034**,0.024**,0.035**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                         ,(0.009),(0.010),(0.010),(0.008),(0.007),(0.007),(0.009),(0.010),(0.010),(0.008),(0.007),(0.007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teacher Uptake,0.054*,0.117**,0.083**,0.089**,0.058**,0.079**,,,,,,,,,,,,,,,,,,,0.054*,0.117**,0.083**,0.089**,0.058**,0.079**,,,,,,,,,,,,
                         ,(0.023),(0.032),(0.026),(0.019),(0.017),(0.017),,,,,,,,,,,,,,,,,,,(0.023),(0.032),(0.026),(0.019),(0.017),(0.017),,,,,,,,,,,,
Focusing Question,0.102+,0.233**,0.198**,0.132**,0.164**,0.115**,,,,,,,,,,,,,0.102+,0.233**,0.198**,0.132**,0.164**,0.115**,,,,,,,,,,,,,,,,,,
                         ,(0.052),(0.086),(0.072),(0.035),(0.044),(0.036),,,,,,,,,,,,,(0.052),(0.086),(0.072),(0.035),(0.044),(0.036),,,,,,,,,,,,,,,,,,
Student Reasoning,0.100*,0.313**,0.246**,0.144**,0.173**,0.120**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                         ,(0.048),(0.066),(0.050),(0.031),(0.035),(0.035),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Turn Prop,0.484,-0.047,0.718,0.214,0.125,-0.172,,,,,,,,,,,,,,,,,,,,,,,,,0.484,-0.047,0.718,0.214,0.125,-0.172,,,,,,
                         ,(0.512),(0.528),(0.669),(0.574),(0.485),(0.560),,,,,,,,,,,,,,,,,,,,,,,,,(0.512),(0.528),(0.669),(0.574),(0.485),(0.560),,,,,,
Student Word Prop,0.245,0.721+,1.132*,0.001,0.469,0.322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.245,0.721+,1.132*,0.001,0.469,0.322
                         ,(0.447),(0.413),(0.541),(0.325),(0.395),(0.387),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(0.447),(0.413),(0.541),(0.325),(0.395),(0.387)
Observations             ,1500,1557,1554,1554,1554,1554,1500,1557,1554,1554,1554,1554,1500,1557,1554,1554,1554,1554,1500,1557,1554,1554,1554,1554,1500,1557,1554,1554,1554,1554,1500,1557,1554,1554,1554,1554,1500,1557,1554,1554,1554,1554
