="                         ",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)",="(42)"
="                         ",="Standardized values of stateva_obs_year",="Standardized values of mqi5",="Standardized values of clinstd",="Standardized values of clts",="Standardized values of clrsp",="Standardized values of clpc",="Standardized values of stateva_obs_year",="Standardized values of mqi5",="Standardized values of clinstd",="Standardized values of clts",="Standardized values of clrsp",="Standardized values of clpc",="Standardized values of stateva_obs_year",="Standardized values of mqi5",="Standardized values of clinstd",="Standardized values of clts",="Standardized values of clrsp",="Standardized values of clpc",="Standardized values of stateva_obs_year",="Standardized values of mqi5",="Standardized values of clinstd",="Standardized values of clts",="Standardized values of clrsp",="Standardized values of clpc",="Standardized values of stateva_obs_year",="Standardized values of mqi5",="Standardized values of clinstd",="Standardized values of clts",="Standardized values of clrsp",="Standardized values of clpc",="Standardized values of stateva_obs_year",="Standardized values of mqi5",="Standardized values of clinstd",="Standardized values of clts",="Standardized values of clrsp",="Standardized values of clpc",="Standardized values of stateva_obs_year",="Standardized values of mqi5",="Standardized values of clinstd",="Standardized values of clts",="Standardized values of clrsp",="Standardized values of clpc"
="student_reasoning_prop   ",="0.015+",="0.055**",="0.043**",="0.020**",="0.030**",="0.015**",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="                         ",="(0.008)",="(0.007)",="(0.005)",="(0.005)",="(0.005)",="(0.006)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="teacher_on_task_prop     ",="",="",="",="",="",="",="0.003+",="0.006**",="0.008**",="0.006**",="0.005**",="0.005**",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="                         ",="",="",="",="",="",="",="(0.002)",="(0.002)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="student_on_task_prop     ",="",="",="",="",="",="",="",="",="",="",="",="",="0.003+",="0.006**",="0.008**",="0.005**",="0.005**",="0.005**",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="                         ",="",="",="",="",="",="",="",="",="",="",="",="",="(0.002)",="(0.002)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="focusing_question_prop   ",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.017*",="0.049**",="0.044**",="0.022**",="0.032**",="0.018**",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="                         ",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.008)",="(0.006)",="(0.006)",="(0.005)",="(0.006)",="(0.006)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="high_uptake_prop         ",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.009*",="0.027**",="0.020**",="0.016**",="0.012**",="0.013**",="",="",="",="",="",="",="",="",="",="",="",=""
="                         ",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.004)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="",="",="",="",="",="",="",="",="",="",="",=""
="student_turn_prop        ",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.510",="0.007",="0.712",="0.176",="0.113",="-0.221",="",="",="",="",="",=""
="                         ",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.515)",="(0.528)",="(0.671)",="(0.576)",="(0.488)",="(0.562)",="",="",="",="",="",=""
="student_word_prop        ",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.230",="0.697+",="1.135*",="0.017",="0.475",="0.343"
="                         ",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.448)",="(0.402)",="(0.542)",="(0.328)",="(0.397)",="(0.387)"
="R^2                      ",="0.071",="0.119",="0.047",="0.033",="0.036",="0.036",="0.070",="0.068",="0.026",="0.034",="0.026",="0.040",="0.070",="0.068",="0.028",="0.034",="0.026",="0.040",="0.072",="0.100",="0.042",="0.033",="0.036",="0.037",="0.072",="0.102",="0.032",="0.039",="0.027",="0.041",="0.068",="0.058",="0.010",="0.025",="0.018",="0.031",="0.067",="0.060",="0.015",="0.025",="0.019",="0.032"
="Observations             ",="1500",="1557",="1554",="1554",="1554",="1554",="1500",="1557",="1554",="1554",="1554",="1554",="1500",="1557",="1554",="1554",="1554",="1554",="1500",="1557",="1554",="1554",="1554",="1554",="1500",="1557",="1554",="1554",="1554",="1554",="1500",="1557",="1554",="1554",="1554",="1554",="1500",="1557",="1554",="1554",="1554",="1554"
